details,title,spec,ratt
https://www.swiggy.com/restaurants/regal-cakes-and-bakers-hinjewadi-pune-279693,REGAL CAKES & BAKERS,Desserts,--•-- MINS•₹250 FOR TWO
https://www.swiggy.com/restaurants/the-bombay-paratha-company-the-bombay-paratha-company-hinjewadi-pune-298722,The Bombay Paratha Company,"North Indian, Indian, Punjabi, Combo, Desserts, Beverages",4.0•-- MINS•₹200 FOR TWO
https://www.swiggy.com/restaurants/mr-changs-chinese-hinjewadi-pune-317652,Mr.Chang's Chinese,"Asian, Chinese, Oriental",--•-- MINS•₹200 FOR TWO
https://www.swiggy.com/restaurants/hotel-shivsankar-hinjawadi-hinjewadi-pune-25523,Hotel Shivsankar,Chinese,3.4•-- MINS•₹400 FOR TWO
https://www.swiggy.com/restaurants/chinesestory-hinjewadi-pune-352179,CHINESESTORY,Chinese,3.9•-- MINS•₹200 FOR TWO
https://www.swiggy.com/restaurants/cafe-georgia-hinjewadi-pune-338476,CAFE GEORGIA,"Continental, Beverages",--•-- MINS•₹250 FOR TWO
https://www.swiggy.com/restaurants/mealstory-hinjewadi-pune-351521,MEALSTORY,"Chinese, Indian, Maharashtrian",4.1•-- MINS•₹200 FOR TWO
https://www.swiggy.com/restaurants/indori-wala-hinjewadi-pune-379779,INDORI WALA,Snacks,--•-- MINS•₹150 FOR TWO
https://www.swiggy.com/restaurants/khatri-bandhu-pot-ice-cream-hinjewadi-pune-144385,Khatri Bandhu Pot Ice Cream,Ice Cream,--•-- MINS•₹200 FOR TWO
https://www.swiggy.com/restaurants/chandu-vadewale-hinjewadi-pune-227008,Chandu Vadewale,"Fast Food, Snacks",--•-- MINS•₹150 FOR TWO
https://www.swiggy.com/restaurants/favourite-thali-hinjewadi-pune-248945,Favourite Thali,Indian,--•-- MINS•₹250 FOR TWO
https://www.swiggy.com/restaurants/dial-a-chef-kitchen-hinjewadi-pune-336723,dial a chef kitchen,Desserts,--•-- MINS•₹250 FOR TWO
https://www.swiggy.com/restaurants/roll-xpress-hinjewadi-pune-247979,Roll Xpress,"Snacks, Fast Food, Beverages",4.2•-- MINS•₹200 FOR TWO
https://www.swiggy.com/restaurants/chow-mein-and-co-hinjewadi-pune-316558,Chow Mein & Co.,"Asian, Chinese, Oriental",--•-- MINS•₹200 FOR TWO
https://www.swiggy.com/restaurants/taste-chettinad-veg-hinjewadi-pune-353152,Taste Chettinad - veg,"South Indian, Indian, North Indian, Chinese, Combo, Biryani, Tandoor, Healthy Fo...",--•-- MINS•₹200 FOR TWO
https://www.swiggy.com/restaurants/pride-kitchens-hyderabadi-biryani-hinjewadi-pune-182060,Pride Kitchen's Hyderabadi Biryani,"Biryani, North Indian",--•-- MINS•₹500 FOR TWO
https://www.swiggy.com/restaurants/cakes-n-puffs-hinjewadi-pune-281402,cakes n puffs,"Bakery, Desserts, Salads",--•-- MINS•₹150 FOR TWO
https://www.swiggy.com/restaurants/indian-thali-house-opp-infosys-hinjewadi-pune-29565,Indian Thali House,"North Indian, Maharashtrian, Chinese",3.8•-- MINS•₹200 FOR TWO
https://www.swiggy.com/restaurants/fuel-up-hinjewadi-pune-84264,Fuel Up,"Healthy Food, Salads, Continental",4.5•-- MINS•₹250 FOR TWO
https://www.swiggy.com/restaurants/dilbaro-hinjewadi-pune-321224,Dilbaro,"Biryani, Chinese, Home Food, Hyderabadi, Indian, Maharashtrian, North Indian, Pu...",--•-- MINS•₹200 FOR TWO
https://www.swiggy.com/restaurants/the-biryani-life-maan-road-om-plaza-2nd-floor-hinjewadi-pune-191321,The Biryani Life,"Biryani, Hyderabadi, Lucknowi, North Indian, Mughlai, Combo, Desserts",4.0•-- MINS•₹250 FOR TWO
https://www.swiggy.com/restaurants/box8-desi-meals-blue-ridge-hinjewadi-pune-289340,BOX8 - Desi Meals,"North Indian, Biryani, Fast Food, Combo, Snacks",4.2•-- MINS•₹250 FOR TWO
https://www.swiggy.com/restaurants/ghar-ka-dabba-69-wakad-hinjewadi-pune-353836,Ghar ka Dabba@69,Home Food,--•-- MINS•₹150 FOR TWO
https://www.swiggy.com/restaurants/raqabdaars-hinjewadi-pune-351535,RAQABDAARS,Combo,--•-- MINS•₹300 FOR TWO
https://www.swiggy.com/restaurants/kfc-fortune-inn-hotel-hinjewadi-pune-89140,KFC,"American, Fast Food, Snacks",4.0•-- MINS•₹400 FOR TWO
https://www.swiggy.com/restaurants/khichdi-experiment-dk-hinjewadi-pune-201307,Khichdi Experiment,"Home Food, Healthy Food, Indian",4.4•-- MINS•₹250 FOR TWO
https://www.swiggy.com/restaurants/insta-cafe-hinjewadi-pune-254164,Insta Cafe,"Indian, Chinese, Fast Food, Snacks, Italian",2.9•-- MINS•₹250 FOR TWO
https://www.swiggy.com/restaurants/punjabi-tummy-wakad-hinjewadi-pune-353832,Punjabi Tummy,"Maharashtrian, North Indian, Chinese",--•-- MINS•₹300 FOR TWO
https://www.swiggy.com/restaurants/tasty-times-hinjewadi-pune-124315,Tasty Times,Fast Food,--•-- MINS•₹200 FOR TWO
https://www.swiggy.com/restaurants/tarus-cake-and-chocolates-hinjewadi-pune-333211,Taru's Cake & Chocolates,"Bakery, Desserts",--•-- MINS•₹199 FOR TWO
https://www.swiggy.com/restaurants/samadhan-hinjewadi-pune-252892,Samadhan,Maharashtrian,--•-- MINS•₹300 FOR TWO
https://www.swiggy.com/restaurants/arabian-mandi-hinjewadi-pune-305326,Arabian Mandi,"Arabian, Mughlai, North Indian, Biryani",3.8•-- MINS•₹300 FOR TWO
https://www.swiggy.com/restaurants/chopstick-veg-non-veg-chinese-restaurant-hinjewadi-pune-365258,CHOPSTICK VEG NON-VEG CHINESE RESTAURANT,South Indian,--•-- MINS•₹200 FOR TWO
https://www.swiggy.com/restaurants/natural-ice-cream-wakad-road-hinjewadi-pune-27807,Natural Ice Cream,Ice Cream,4.6•-- MINS•₹150 FOR TWO
https://www.swiggy.com/restaurants/cafe-chocoletea-hinjewadi-pune-352999,Cafe Chocoletea,Indian,--•-- MINS•₹300 FOR TWO
https://www.swiggy.com/restaurants/the-coffee-club-hinjewadi-pune-352998,The Coffee Club,Indian,--•-- MINS•₹300 FOR TWO
https://www.swiggy.com/restaurants/desi-handi-hinjewadi-pune-42521,DESI HANDI,"North Indian, Chinese, Tandoor, Biryani, Punjabi",3.4•-- MINS•₹300 FOR TWO
https://www.swiggy.com/restaurants/biryani-blast-hinjewadi-pune-352758,BIRYANI BLAST,"Lucknowi, Indian",4.1•-- MINS•₹300 FOR TWO
