details,title,spec,ratt
https://www.swiggy.com/restaurants/raaya-misal-pavbhaji-va-barachkahi-wakad-pune-371699,"Raaya Misal, PavBhaji va Barachkahi","Indian, Fast Food",--•-- MINS•₹250 FOR TWO
https://www.swiggy.com/restaurants/sigdi-wakad-pune-229504,Sigdi,"North Eastern, Mughlai, Kebabs, Biryani, Tandoor",3.8•-- MINS•₹400 FOR TWO
https://www.swiggy.com/restaurants/royal-baking-co-shri-mahakaleshwar-road-wakad-pune-65946,Royal Baking Co,"Bakery, Desserts",--•-- MINS•₹350 FOR TWO
https://www.swiggy.com/restaurants/hotel-om-annapurna-sukhkarta-colony-wakad-pune-173614,Hotel Om Annapurna,Indian,--•-- MINS•₹250 FOR TWO
https://www.swiggy.com/restaurants/food-lovers-wakad-pune-120289,Food lovers,"Chinese, North Indian, Biryani",--•-- MINS•₹300 FOR TWO
https://www.swiggy.com/restaurants/oaramehas-cake-shop-wakad-pune-171312,Oaramehas Cake Shop,"Bakery, Desserts",--•-- MINS•₹500 FOR TWO
https://www.swiggy.com/restaurants/maha-khavaiyye-wakad-near-punjab-national-bank-wakad-pune-22170,Maha Khavaiyye (Wakad),Maharashtrian,4.0•-- MINS•₹150 FOR TWO
https://www.swiggy.com/restaurants/masala-darbar-wakad-pune-167853,Masala Darbar,Indian,--•-- MINS•₹500 FOR TWO
https://www.swiggy.com/restaurants/kalvan-the-marathi-kitchen-wakad-pune-345915,Kalvan-The Marathi Kitchen,Chinese,--•-- MINS•₹500 FOR TWO
https://www.swiggy.com/restaurants/burger-blast-wakad-pune-233565,Burger blast,American,--•-- MINS•₹250 FOR TWO
https://www.swiggy.com/restaurants/behrouz-biryani-wakad-pune-16852,Behrouz Biryani,"Biryani, Mughlai, Lucknowi, Kebabs, Hyderabadi, North Indian, Persian, Desserts",4.3•-- MINS•₹500 FOR TWO
https://www.swiggy.com/restaurants/cafe-cold-brew-wakad-pune-346446,CAFE COLD BREW,"Pizzas, Continental, Beverages",--•-- MINS•₹400 FOR TWO
https://www.swiggy.com/restaurants/the-chinese-house-thergaon-chinchwad-wakad-pune-150054,The Chinese House,Chinese,3.7•-- MINS•₹250 FOR TWO
https://www.swiggy.com/restaurants/paratha-king-near-hotel-sawad-wakad-pune-20202,Paratha King,North Indian,4.1•-- MINS•₹200 FOR TWO
https://www.swiggy.com/restaurants/lookma-wakad-pune-369262,Lookma,Indian,--•-- MINS•₹250 FOR TWO
https://www.swiggy.com/restaurants/raqabdaars-kaspatewasti-wakad-pune-14441,Raqabdaars,"North Indian, Awadhi, Lucknowi, Biryani",--•-- MINS•₹500 FOR TWO
https://www.swiggy.com/restaurants/caribbean-cafe-wakad-pune-108177,Caribbean Cafe,"American, Fast Food, Snacks",--•-- MINS•₹200 FOR TWO
https://www.swiggy.com/restaurants/kakke-da-paratha-wakad-wakad-pune-260463,Kakke Da Paratha (Wakad),"North Indian, Punjabi, Beverages",3.7•-- MINS•₹150 FOR TWO
https://www.swiggy.com/restaurants/lazzetti-moze-college-wakad-pune-16983,Lazzetti,"Fast Food, Lebanese, Biryani, Chinese, Tandoor",3.9•-- MINS•₹500 FOR TWO
https://www.swiggy.com/restaurants/miami-shakes-and-more-kalewadi-wakad-pune-344382,Miami Shakes & More,"Beverages, Desserts",3.3•-- MINS•₹300 FOR TWO
https://www.swiggy.com/restaurants/amul-restaurant-wakad-pune-24002,Amul Restaurant,North Indian,4.2•-- MINS•₹200 FOR TWO
https://www.swiggy.com/restaurants/ispice-chinese-food-court-wakad-pune-352146,ISPICE CHINESE FOOD COURT,Chinese,--•-- MINS•₹200 FOR TWO
https://www.swiggy.com/restaurants/kota-kachori-and-namkeens-wakad-pune-71273,Kota kachori and namkeens,Street Food,4.1•-- MINS•₹100 FOR TWO
https://www.swiggy.com/restaurants/misal-khazana-wakad-pune-302409,MISAL KHAZANA,Maharashtrian,--•-- MINS•₹400 FOR TWO
https://www.swiggy.com/restaurants/shakes-wakad-pune-311482,SHAKES+,"Beverages, Desserts",--•-- MINS•₹200 FOR TWO
https://www.swiggy.com/restaurants/the-waffle-jar-wakad-pune-311483,THE WAFFLE JAR,"Desserts, Bakery, Beverages",3.5•-- MINS•₹200 FOR TWO
https://www.swiggy.com/restaurants/nawabi-mehfil-datta-mandir-wakad-pune-167295,nawabi mehfil,"Indian, Chinese",--•-- MINS•₹250 FOR TWO
https://www.swiggy.com/restaurants/kwality-walls-frozen-dessert-and-ice-cream-shop-wakad-pune-377669,Kwality Walls Frozen Dessert and Ice Cream Shop,Ice Cream,--•-- MINS•₹300 FOR TWO
https://www.swiggy.com/restaurants/mauli-snacks-center-wakad-pune-242812,Mauli Snacks Center,Snacks,--•-- MINS•₹150 FOR TWO
https://www.swiggy.com/restaurants/craving-station-wakad-pune-229502,Craving Station,"North Indian, Street Food, Asian, North Eastern, Punjabi, Tibetan",3.3•-- MINS•₹300 FOR TWO
https://www.swiggy.com/restaurants/namah-kalewadi-chowk-wakad-pune-2576,Namah,"North Indian, Chinese, Continental, Italian",4.3•-- MINS•₹600 FOR TWO
https://www.swiggy.com/restaurants/hero-sandwiches-wakad-pune-322921,Hero Sandwiches,Fast Food,3.9•-- MINS•₹250 FOR TWO
https://www.swiggy.com/restaurants/marasim-wakad-pune-244680,Marasim,Arabian,--•-- MINS•₹450 FOR TWO
https://www.swiggy.com/restaurants/rohit-wadewale-shankar-kalate-nagar-wakad-pune-360329,Rohit Wadewale,"Maharashtrian, Snacks, Fast Food",3.7•-- MINS•₹300 FOR TWO
https://www.swiggy.com/restaurants/kgn-xprs-wakad-pimple-saudagar-wakad-pune-60140,KGN Xprs (Wakad),"Tandoor, Biryani, North Indian, Chinese",3.9•-- MINS•₹300 FOR TWO
https://www.swiggy.com/restaurants/shawarma-and-salads-wakad-pune-348977,Shawarma and Salads,"Combo, Fast Food, Beverages",--•-- MINS•₹200 FOR TWO
https://www.swiggy.com/restaurants/chota-bite-by-cafe-goodluck-wakad-pune-345346,Chota Bite by Cafe Goodluck,Fast Food,4.4•-- MINS•₹300 FOR TWO
https://www.swiggy.com/restaurants/bebe-di-rasoi-wakad-pune-145719,Bebe Di Rasoi,"North Indian, Punjabi, Biryani, Kebabs, Mughlai, Desserts, Beverages",3.9•-- MINS•₹300 FOR TWO
https://www.swiggy.com/restaurants/cafe-chokolade-windsor-apartment-wakad-pune-243710,Cafe Chokolade,"Desserts, Ice Cream",--•-- MINS•₹120 FOR TWO
https://www.swiggy.com/restaurants/lost-recipes-wakad-pune-290668,LOST  RECIPES,Indian,--•-- MINS•₹250 FOR TWO
https://www.swiggy.com/restaurants/kinara-family-restaurant-pimpri-chinchwad-maharashtra-wakad-pune-93633,kinara family restaurant,"Maharashtrian, Chinese",--•-- MINS•₹450 FOR TWO
https://www.swiggy.com/restaurants/khushi-curries-and-biryani-wakad-pune-193408,Khushi Curries  And Biryani,"Biryani, South Indian, Tandoor , indian",--•-- MINS•₹200 FOR TWO
https://www.swiggy.com/restaurants/oyee-food-wakad-pune-352157,OYEE FOOD,"North Indian, Indian, Combo, Beverages",4.0•-- MINS•₹200 FOR TWO
https://www.swiggy.com/restaurants/cake-n-bake-wakad-pune-118108,Cake N Bake,"Bakery, Desserts",4.3•-- MINS•₹200 FOR TWO
https://www.swiggy.com/restaurants/puneri-swad-datta-mandir-road-wakad-pune-298027,Puneri swad,"North Indian, Chinese",--•-- MINS•₹199 FOR TWO
https://www.swiggy.com/restaurants/the-royal-biryani-and-caterers-wakad-pune-355664,THE  ROYAL BIRYANI AND CATERERS,Indian,--•-- MINS•₹200 FOR TWO
https://www.swiggy.com/restaurants/soy-de-asian-wakad-pune-316347,Soy de Asian,Chinese,--•-- MINS•₹200 FOR TWO
https://www.swiggy.com/restaurants/hotel-vishakha-wakad-pune-119564,Hotel Vishakha,Chinese,--•-- MINS•₹250 FOR TWO
https://www.swiggy.com/restaurants/bhairavi-wakad-pune-145202,Bhairavi,Maharashtrian,4.2•-- MINS•₹400 FOR TWO
https://www.swiggy.com/restaurants/rasoda-wakad-pune-379087,Rasoda,North Indian,--•-- MINS•₹270 FOR TWO
https://www.swiggy.com/restaurants/a-2-z-spicy-wakad-pune-119563,A 2 Z Spicy,"Chinese, North Indian",--•-- MINS•₹400 FOR TWO
https://www.swiggy.com/restaurants/cafe-coffee-hutt-near-datta-mandir-wakad-pune-2226,Cafe Coffee Hutt,Fast Food,4.4•-- MINS•₹250 FOR TWO
https://www.swiggy.com/restaurants/flute-wakad-pune-118116,Flute,"Chinese, North Indian, Continental",4.2•-- MINS•₹600 FOR TWO
https://www.swiggy.com/restaurants/cafe-cues-and-cushions-wakad-pune-228683,Cafe Cues and Cushions,"Beverages, Fast Food, Pizzas",--•-- MINS•₹300 FOR TWO
https://www.swiggy.com/restaurants/pradeep-sweets-wakad-pune-190379,Pradeep Sweets,Sweets,4.4•-- MINS•₹300 FOR TWO
https://www.swiggy.com/restaurants/chicken-affair-wakad-pune-321248,Chicken Affair,Indian,--•-- MINS•₹300 FOR TWO
https://www.swiggy.com/restaurants/foodginie-express-shankar-kalat-nagar-wakad-pune-369700,FoodGinie Express,"Biryani, Desserts, North Indian, Salads, Lebanese",--•-- MINS•₹300 FOR TWO
https://www.swiggy.com/restaurants/e-cube-cafe-and-games-wakad-pune-177037,E Cube Cafe & Games,Cafe,--•-- MINS•₹350 FOR TWO
https://www.swiggy.com/restaurants/momoguy-kalewadi-wakad-pune-344247,MomoGuy,"Tibetan, Fast Food, Chinese, Snacks, Oriental",3.9•-- MINS•₹400 FOR TWO
https://www.swiggy.com/restaurants/signature-kolkata-a-home-style-bengali-kitchen-behind-vrinda-pav-bhaji-wakad-pune-219614,Signature Kolkata  - A Home Style Bengali Kitchen,"North Indian, Bengali, Biryani, Snacks",--•-- MINS•₹200 FOR TWO
https://www.swiggy.com/restaurants/hotel-oveeshri-pure-veg-wakad-pune-352966,Hotel OveeShri Pure Veg,Indian,--•-- MINS•₹200 FOR TWO
https://www.swiggy.com/restaurants/wakka-makka-chinese-kalewadi-wakad-pune-344241,Wakka Makka Chinese,"Chinese, Asian, Oriental, Fast Food, Tibetan, Desserts",3.2•-- MINS•₹400 FOR TWO
https://www.swiggy.com/restaurants/fossil-food-wakad-pune-244019,Fossil Food,Indian,--•-- MINS•₹250 FOR TWO
https://www.swiggy.com/restaurants/burger-express-datta-nagar-wakad-pune-162579,Burger Express,"Fast Food, Beverages",--•-- MINS•₹200 FOR TWO
https://www.swiggy.com/restaurants/pizza-hut-ozone-spring-22c-wakad-pune-14781,Pizza Hut,"Fast Food, Pizzas",3.6•-- MINS•₹350 FOR TWO
https://www.swiggy.com/restaurants/new-york-waffles-and-dinges-kalewadi-wakad-pune-344240,New York Waffles & Dinges,"Desserts, Beverages, Fast Food",3.8•-- MINS•₹300 FOR TWO
https://www.swiggy.com/restaurants/the-tandoor-wakad-pune-379500,THE TANDOOR,"Continental, Chinese, Indian",--•-- MINS•₹250 FOR TWO
https://www.swiggy.com/restaurants/cafe-peter-pimple-nilakh-wakad-pune-75892,CAFE  PETER,"Indian, Fast Food",--•-- MINS•₹400 FOR TWO
https://www.swiggy.com/restaurants/jumboking-wakad-pune-33281,Jumboking,Fast Food,3.5•-- MINS•₹100 FOR TWO
https://www.swiggy.com/restaurants/dvs-pizza-tathwade-wakad-pune-254610,DV's Pizza Tathwade,Pizzas,--•-- MINS•₹400 FOR TWO
https://www.swiggy.com/restaurants/marasim-wakad-pune-249157,MARASIM,Arabian,--•-- MINS•₹350 FOR TWO
https://www.swiggy.com/restaurants/kekiz-the-cake-shop-wakad-pune-256597,KEKIZ THE CAKE SHOP,"Bakery, Desserts",--•-- MINS•₹300 FOR TWO
https://www.swiggy.com/restaurants/rassasy-near-sai-india-park-wakad-pune-145336,Rassasy,"Tibetan, Chinese, Thai",--•-- MINS•₹250 FOR TWO
https://www.swiggy.com/restaurants/pavman-wakad-pune-322902,PavMan,Fast Food,3.9•-- MINS•₹200 FOR TWO
https://www.swiggy.com/restaurants/ching-chong-asian-kalewadi-wakad-pune-344238,Ching Chong Asian,"Chinese, Asian, Oriental, Fast Food, Tibetan, Desserts",3.0•-- MINS•₹400 FOR TWO
https://www.swiggy.com/restaurants/diet-n-bite-wakad-pune-367897,Diet N Bite,"Snacks, Beverages",--•-- MINS•₹200 FOR TWO
https://www.swiggy.com/restaurants/hotel-super-shriraj-kaspate-vasti-road-wakad-pune-14427,Hotel Super Shriraj,Maharashtrian,3.5•-- MINS•₹300 FOR TWO
https://www.swiggy.com/restaurants/jennys-brownies-kalewadi-wakad-pune-344236,Jenny's Brownies,"Desserts, Beverages",--•-- MINS•₹300 FOR TWO
https://www.swiggy.com/restaurants/wack-waffle-and-brownies-kalewadi-wakad-pune-344237,Wack Waffle & Brownies,"Desserts, Beverages, Fast Food",3.5•-- MINS•₹300 FOR TWO
https://www.swiggy.com/restaurants/royal-pizza-and-diet-foods-wakad-pune-116282,Royal pizza & Diet Foods,"Fast Food, Italian, Pizzas",4.0•-- MINS•₹300 FOR TWO
https://www.swiggy.com/restaurants/saddi-rasoi-a-punjabi-delicacy-wakad-pune-261120,Saddi Rasoi- A Punjabi Delicacy,"North Indian, Punjabi",4.0•-- MINS•₹250 FOR TWO
https://www.swiggy.com/restaurants/royal-pizza-and-diet-foods-shankar-kalate-nagar-wakad-pune-110046,Royal Pizza & Diet Foods,"Fast Food, Pizzas, Healthy Food",--•-- MINS•₹400 FOR TWO
https://www.swiggy.com/restaurants/cafe-coffee-day-zen-business-center-wakad-pune-14991,Cafe Coffee Day,"Beverages, Snacks, Desserts",4.3•-- MINS•₹300 FOR TWO
https://www.swiggy.com/restaurants/dieters-studio-wakad-pune-269522,DIETERS STUDIO,Healthy Food,--•-- MINS•₹500 FOR TWO
https://www.swiggy.com/restaurants/rangla-punjabis-wakad-pune-267344,RANGLA PUNJABIS,Indian,--•-- MINS•₹250 FOR TWO
https://www.swiggy.com/restaurants/meal-time-wakad-pune-43990,Meal Time,"North Indian, Chinese",--•-- MINS•₹200 FOR TWO
https://www.swiggy.com/restaurants/ubq-by-barbeque-nation-wakad-pune-105258,UBQ by Barbeque Nation,"North Indian, Mughlai, Seafood, Biryani, Desserts, Kebabs",3.6•-- MINS•₹300 FOR TWO
https://www.swiggy.com/restaurants/prakash-lunch-home-pudumjee-paper-mill-wakad-pune-166845,Prakash lunch home,Indian,--•-- MINS•₹200 FOR TWO
https://www.swiggy.com/restaurants/naayab-the-royal-kitchen-wakad-pune-47312,Naayab - The Royal Kitchen,"Indian, Mughlai",--•-- MINS•₹500 FOR TWO
https://www.swiggy.com/restaurants/mothers-tasty-box-wakad-pune-335638,Mothers Tasty Box,"Indian, Chinese",--•-- MINS•₹200 FOR TWO
https://www.swiggy.com/restaurants/bhajan-singhs-wakad-pune-355688,Bhajan Singh's,"Indian, Chinese",4.0•-- MINS•₹400 FOR TWO
https://www.swiggy.com/restaurants/the-paratha-singh-gujarnagar-wakad-pune-244903,The Paratha Singh,"Indian, North Indian, Chinese, Biryani, Combo, Desserts",--•-- MINS•₹200 FOR TWO
https://www.swiggy.com/restaurants/faasos-wakad-pune-23106,Faasos,"Fast Food, Combo, Snacks",4.2•-- MINS•₹200 FOR TWO
https://www.swiggy.com/restaurants/royal-meals-wakad-pune-249121,ROYAL MEALS,"Biryani, Indian",--•-- MINS•₹300 FOR TWO
https://www.swiggy.com/restaurants/speedy-ashian-wakad-pune-383112,Speedy Ashian,"Combo, Chinese, Indian",--•-- MINS•₹200 FOR TWO
https://www.swiggy.com/restaurants/shaurya-kaspate-corner-wakad-pune-2247,Shaurya,"North Indian, Chinese",--•-- MINS•₹550 FOR TWO
https://www.swiggy.com/restaurants/torna-momos-wakad-pune-313725,TORNA MOMOS,Chinese,--•-- MINS•₹250 FOR TWO
https://www.swiggy.com/restaurants/subway-kaspate-vasti-wakad-pune-2245,Subway,"Fast Food, Healthy Food, Salads, Snacks, Desserts, Beverages",4.3•-- MINS•₹350 FOR TWO
https://www.swiggy.com/restaurants/the-magic-wok-wakad-pune-383111,The magic wok,"Combo, Chinese, Indian",--•-- MINS•₹200 FOR TWO
https://www.swiggy.com/restaurants/angaar-kaspate-wasti-wakad-pune-20195,Angaar,Indian,4.0•-- MINS•₹300 FOR TWO
https://www.swiggy.com/restaurants/hotel-sarvadnya-wakad-pune-128921,Hotel Sarvadnya,"North Indian, Seafood",4.2•-- MINS•₹300 FOR TWO
https://www.swiggy.com/restaurants/portico-sayaji-hotel-wakad-pune-348823,Portico- Sayaji Hotel,"North Indian, Chinese",--•-- MINS•₹700 FOR TWO
https://www.swiggy.com/restaurants/coffee-conversation-cafe-wakad-pune-300540,Coffee conversation cafe,Fast Food,--•-- MINS•₹300 FOR TWO
https://www.swiggy.com/restaurants/barbeque-nation-mumbai-banglore-bypass-higway-wakad-pune-305793,Barbeque Nation,"North Indian, Mughlai, Seafood, Biryani, Desserts, Kebabs",3.4•-- MINS•₹600 FOR TWO
https://www.swiggy.com/restaurants/the-big-cheese-oven-wakad-pune-302288,THE BIG CHEESE OVEN,Pizzas,--•-- MINS•₹200 FOR TWO
https://www.swiggy.com/restaurants/oye-kakke-by-spice-factory-wakad-pune-302965,OYE KAKKE BY SPICE FACTORY,Indian,--•-- MINS•₹250 FOR TWO
https://www.swiggy.com/restaurants/the-puneri-fries-wakad-pune-343371,The Puneri Fries,"Continental, Beverages, Desserts",--•-- MINS•₹150 FOR TWO
https://www.swiggy.com/restaurants/tiffin-geek-wakad-pune-62241,Tiffin Geek,"North Indian, Chinese, Thalis, Combo, Punjabi",3.7•-- MINS•₹250 FOR TWO
https://www.swiggy.com/restaurants/the-bowl-factory-by-spice-factory-wakad-pune-302962,THE BOWL FACTORY BY SPICE FACTORY,"Indian, Asian, Beverages",--•-- MINS•₹250 FOR TWO
https://www.swiggy.com/restaurants/the-london-shakes-wakad-pune-232271,The London Shakes,"Beverages, Fast Food, Snacks",--•-- MINS•₹300 FOR TWO
https://www.swiggy.com/restaurants/immunity-booster-meals-by-lunchbox-wakad-pune-263655,Immunity Booster Meals by Lunchbox,"North Indian, Desserts, Biryani",--•-- MINS•₹200 FOR TWO
https://www.swiggy.com/restaurants/thunder-subs-wakad-pune-365264,THUNDER SUB'S,Snacks,--•-- MINS•₹200 FOR TWO
https://www.swiggy.com/restaurants/j-j-hotel-and-chinese-corner-wakad-pune-191218,J.J. Hotel & Chinese Corner,Chinese,--•-- MINS•₹250 FOR TWO
https://www.swiggy.com/restaurants/rainbow-darbar-bhujbal-vasti-wakad-pune-80209,Rainbow Darbar,"Chinese, North Indian, Biryani",--•-- MINS•₹350 FOR TWO
https://www.swiggy.com/restaurants/biryani-house-wakad-pune-353155,Biryani House,Indian,--•-- MINS•₹200 FOR TWO
https://www.swiggy.com/restaurants/upsouth-wakad-pune-207652,Upsouth,"South Indian, Fast Food",3.7•-- MINS•₹250 FOR TWO
https://www.swiggy.com/restaurants/dominos-pizza-windsor-park-wakad-pune-24444,Domino's Pizza,Pizzas,4.2•-- MINS•₹400 FOR TWO
https://www.swiggy.com/restaurants/the-flavour-boutique-wakad-pune-350441,THE FLAVOUR BOUTIQUE,"Indian, Snacks, Mexican, Continental",--•-- MINS•₹200 FOR TWO
